Character,Rarity,Class,Archetype,Promotion,HP,Attack,Defense,Magic Res,Cost,Atk Interval,Block,Auto dps Pts,dps/Cost
Greyy,4,Caster,AoE Caster,E230,1252,585,118,20,32,2.9,1,202,6
Greyy,4,Caster,AoE Caster,E1M,2035,295,490,0,18,1.2,3,246,14
Haze,4,Caster,ST Caster,E01,619,253,42,10,17,1.6,1,158,9
Haze,4,Caster,ST Caster,E11,885,362,71,15,19,1.6,1,226,12
Haze,4,Caster,ST Caster,E21,1150,483,98,20,19,1.6,1,302,16
Haze,4,Caster,ST Caster,E230,1263,525,103,20,19,1.6,1,328,17
Haze,4,Caster,ST Caster,E2M,2135,488,312,0,9,0.78,1,626,70
Lava,3,Caster,AoE Caster,E01,576,296,41,10,27,2.9,1,102,4
Lava,3,Caster,AoE Caster,E11,823,417,69,15,30,2.9,1,144,5
Haze,4,Caster,ST Caster,E2M,2550,602,332,0,22,1.3,2,463,21
Steward,4,Caster,ST Caster,E01,592,249,38,10,16,1.6,1,156,10
Steward,4,Caster,ST Caster,E11,847,357,65,15,18,1.6,1,223,12
Lava,3,Caster,AoE Caster,E2M,3456,375,701,0,24,1.2,3,313,13
12F,4,Caster,AoE Caster,E01,1378,280,31,10,24,2.9,1,97,4
12F,4,Caster,AoE Caster,E0M,1378,400,50,10,24,2.9,1,138,6
Durin,4,Caster,ST Caster,E01,571,238,36,10,12,1.6,1,149,12
Durin,4,Caster,ST Caster,E0M,952,340,62,10,12,1.6,1,213,18
Angelina,6,Support,Slow,E01,629,228,53,15,14,1.9,1,120,9
Angelina,6,Support,Slow,E11,863,336,77,20,16,1.9,1,177,11
Angelina,6,Support,Slow,E21,1108,449,100,25,16,1.9,1,236,15
Angelina,6,Support,Slow,E230,1198,479,107,25,16,1.9,1,252,16
Angelina,6,Support,Slow,E2M,2821,765,370,0,24,1.2,3,638,27
Magellan,6,Support,Summoner,E01,495,211,60,15,10,1.6,1,132,13
Magellan,6,Support,Summoner,E11,670,302,87,20,12,1.6,1,189,16
Magellan,6,Support,Summoner,E21,871,403,116,20,12,1.6,1,252,21
Magellan,6,Support,Summoner,E230,947,425,124,20,12,1.6,1,266,22
Magellan,6,Support,Summoner,E2M,1230,535,130,5,13,1,1,535,41
Glaucus,5,Support,Slow,E01,592,213,45,10,13,1.9,1,112,9
Glaucus,5,Support,Slow,E11,800,314,65,15,15,1.9,1,165,11
Glaucus,5,Support,Slow,E21,1013,419,84,20,15,1.9,1,221,15
Glaucus,5,Support,Slow,E230,1106,451,90,20,15,1.9,1,237,16
Glaucus,5,Support,Slow,E2M,1595,343,153,0,17,2.85,1,120,7
Mayer,5,Support,Summoner,E01,480,199,56,15,9,1.6,1,124,14
Mayer,5,Support,Summoner,E11,649,285,80,20,11,1.6,1,178,16
Mayer,5,Support,Summoner,E21,843,380,107,20,11,1.6,1,238,22
Mayer,5,Support,Summoner,E230,926,403,115,20,11,1.6,1,252,23
Mayer,5,Support,Summoner,E2M,2335,762,366,0,23,1.2,3,635,28
Pramanix,5,Support,Pramanix,E01,629,193,46,15,10,1.6,1,121,12
Pramanix,5,Support,Pramanix,E11,925,277,67,20,12,1.6,1,173,14
Pramanix,5,Support,Pramanix,E21,1251,356,89,25,12,1.6,1,223,19
Pramanix,5,Support,Pramanix,E230,1381,383,94,25,12,1.6,1,239,20
Pramanix,5,Support,Pramanix,E1M,2130,305,475,0,18,1.2,3,254,14
Sora,5,Support,Heal Support,E01,519,133,95,0,5,1,1,133,27
Sora,5,Support,Heal Support,E11,742,208,142,0,7,1,1,208,30
Sora,5,Support,Heal Support,E21,1017,278,190,0,7,1,1,278,40
Sora,5,Support,Heal Support,E230,1141,299,208,0,7,1,1,299,43
Sora,5,Support,Heal Support,E1M,1150,617,85,0,23,2.8,1,220,10
Istina,5,Support,Slow,E01,581,218,46,10,13,1.9,1,115,9
Istina,5,Support,Slow,E11,797,321,67,15,15,1.9,1,169,11
Istina,5,Support,Slow,E21,1024,429,87,20,15,1.9,1,226,15
Istina,5,Support,Slow,E230,1118,462,93,20,15,1.9,1,243,16
Istina,5,Support,Slow,E2M,1565,667,128,20,21,1.6,1,417,20
Deepcolor,4,Support,Summoner,E01,472,181,53,10,8,1.6,1,113,14
Deepcolor,4,Support,Summoner,E11,638,259,77,10,10,1.6,1,162,16
Deepcolor,4,Support,Summoner,E21,829,346,103,15,10,1.6,1,216,22
Deepcolor,4,Support,Summoner,E230,922,370,112,15,10,1.6,1,231,23
Deepcolor,4,Support,Summoner,E2M,1455,442,126,5,22,2.85,1,155,7
Earthspirit,4,Support,Slow,E01,548,202,46,10,12,1.9,1,106,9
Earthspirit,4,Support,Slow,E11,751,298,66,15,14,1.9,1,157,11
Earthspirit,4,Support,Slow,E21,964,398,85,20,14,1.9,1,209,15
Earthspirit,4,Support,Slow,E230,1065,432,92,20,14,1.9,1,227,16
Earthspirit,4,Support,Slow,E2M,2880,610,352,0,23,1.3,2,469,20
Orchid,3,Support,Slow,E01,553,192,44,10,10,1.9,1,101,10
Orchid,3,Support,Slow,E11,738,283,64,15,12,1.9,1,149,12
Earthspirit,4,Support,Slow,E2M,1970,765,340,0,13,1.8,2,425,33
Blaze,6,Guard,AoE Guard,E01,1286,308,156,0,20,1.2,2,257,13
Blaze,6,Guard,AoE Guard,E11,1649,429,224,0,22,1.2,2,358,16
Blaze,6,Guard,AoE Guard,E21,2115,581,303,0,24,1.2,3,484,20
Blaze,6,Guard,AoE Guard,E230,2345,641,325,0,24,1.2,3,534,22
Blaze,6,Guard,AoE Guard,E2M,1985,435,322,0,12,1.05,2,414,35
Ch'en,6,Guard,2-Hit Guard,E01,1229,249,154,0,19,1.3,2,192,10
Ch'en,6,Guard,2-Hit Guard,E11,1684,361,221,0,21,1.3,2,278,13
Ch'en,6,Guard,2-Hit Guard,E21,2188,469,288,0,23,1.3,2,361,16
Ch'en,6,Guard,2-Hit Guard,E230,2413,515,309,0,23,1.3,2,396,17
Ch'en,6,Guard,2-Hit Guard,E2M,3520,380,710,0,22,1.2,3,317,14
Hellagur,6,Guard,Drain Guard,E01,1568,340,160,0,22,1.2,1,283,13
Hellagur,6,Guard,Drain Guard,E11,2179,486,220,0,24,1.2,1,405,17
Hellagur,6,Guard,Drain Guard,E21,2868,632,283,0,26,1.2,1,527,20
Hellagur,6,Guard,Drain Guard,E230,3180,674,300,0,26,1.2,1,562,22
Hellagur,6,Guard,Drain Guard,E2M,3105,365,690,0,21,1.2,3,304,14
SilverAsh,6,Guard,Ranged Guard,E01,1075,297,189,5,18,1.3,2,228,13
SilverAsh,6,Guard,Ranged Guard,E11,1536,444,259,10,20,1.3,2,342,17
SilverAsh,6,Guard,Ranged Guard,E21,2022,577,329,10,20,1.3,2,444,22
SilverAsh,6,Guard,Ranged Guard,E230,2197,621,351,10,20,1.3,2,478,24
SilverAsh,6,Guard,Ranged Guard,E2M,1050,403,125,15,10,1.6,1,252,25
Skadi,6,Guard,Duelist Guard,E01,1442,415,116,0,17,1.5,1,277,16
Skadi,6,Guard,Duelist Guard,E11,2060,611,167,0,19,1.5,1,407,21
Skadi,6,Guard,Duelist Guard,E21,2785,774,220,0,19,1.5,1,516,27
Skadi,6,Guard,Duelist Guard,E230,3072,826,234,0,19,1.5,1,551,29
Skadi,6,Guard,Duelist Guard,E2M,1840,545,382,0,15,1.05,2,519,35
Astesia,5,Guard,Magic Guard,E01,1150,283,177,10,19,1.25,1,226,12
Astesia,5,Guard,Magic Guard,E11,1514,411,254,10,21,1.25,1,329,16
Astesia,5,Guard,Magic Guard,E21,1917,534,326,15,21,1.25,1,427,20
Astesia,5,Guard,Magic Guard,E230,2139,580,351,15,21,1.25,1,464,22
Astesia,5,Guard,Magic Guard,E2M,3007,583,548,15,24,1.6,3,364,15
Bibeak,5,Guard,2-Hit Guard,E01,1089,245,146,0,18,1.3,2,188,10
Bibeak,5,Guard,2-Hit Guard,E11,1492,356,209,0,20,1.3,2,274,14
Bibeak,5,Guard,2-Hit Guard,E21,1938,463,272,0,22,1.3,2,356,16
Bibeak,5,Guard,2-Hit Guard,E230,2163,514,294,0,22,1.3,2,395,18
Bibeak,5,Guard,2-Hit Guard,E2M,1205,480,101,20,14,1.9,1,253,18
Broca,5,Guard,AoE Guard,E01,1064,308,155,0,19,1.2,2,257,14
Broca,5,Guard,AoE Guard,E11,1365,428,222,0,21,1.2,2,357,17
Broca,5,Guard,AoE Guard,E21,1751,579,300,0,23,1.2,3,483,21
Broca,5,Guard,AoE Guard,E230,1965,646,324,0,23,1.2,3,538,23
Broca,5,Guard,AoE Guard,E2M,2500,690,315,0,22,1.2,3,575,26
Flamebringer,5,Guard,Duelist Guard,E01,1423,378,86,0,18,1.5,1,252,14
Flamebringer,5,Guard,Duelist Guard,E11,2033,556,123,0,20,1.5,1,371,19
Flamebringer,5,Guard,Duelist Guard,E21,2786,704,161,0,20,1.5,1,469,23
Flamebringer,5,Guard,Duelist Guard,E230,3127,757,173,0,20,1.5,1,505,25
Flamebringer,5,Guard,Duelist Guard,E2M,1530,742,337,30,19,3.5,0,212,11
Franka,5,Guard,Duelist Guard,E01,1386,382,105,0,16,1.5,1,255,16
Franka,5,Guard,Duelist Guard,E11,1981,563,150,0,18,1.5,1,375,21
Franka,5,Guard,Duelist Guard,E21,2715,713,195,0,18,1.5,1,475,26
Franka,5,Guard,Duelist Guard,E230,3047,767,210,0,18,1.5,1,511,28
Franka,5,Guard,Duelist Guard,E2M,2330,720,185,0,31,2.3,1,313,10
Indra,5,Guard,Speed Guard,E01,1071,206,151,0,8,0.78,1,264,33
Indra,5,Guard,Speed Guard,E11,1448,303,217,0,10,0.78,1,388,39
Indra,5,Guard,Speed Guard,E21,1857,405,294,0,10,0.78,1,519,52
Indra,5,Guard,Speed Guard,E230,2007,440,315,0,10,0.78,1,564,56
Indra,5,Guard,Speed Guard,E2M,1673,540,161,0,14,1,1,540,39
Lappland,5,Guard,Ranged Guard,E01,987,285,173,10,17,1.3,2,219,13
Lappland,5,Guard,Ranged Guard,E11,1410,426,238,10,19,1.3,2,328,17
Lappland,5,Guard,Ranged Guard,E21,1856,554,302,15,19,1.3,2,426,22
Lappland,5,Guard,Ranged Guard,E230,2037,602,325,15,19,1.3,2,463,24
Lappland,5,Guard,Ranged Guard,E2M,1743,645,122,20,21,1.6,1,403,19
Savage,5,Guard,AoE Guard,E01,1108,284,135,0,18,1.2,2,237,13
Savage,5,Guard,AoE Guard,E11,1421,395,193,0,20,1.2,2,329,16
Savage,5,Guard,AoE Guard,E21,1822,535,262,0,22,1.2,3,446,20
Savage,5,Guard,AoE Guard,E230,2045,597,283,0,22,1.2,3,498,23
Savage,5,Guard,AoE Guard,E1M,1325,325,260,0,11,1.05,2,310,28
Spectre,5,Guard,AoE Guard,E01,1199,293,150,0,19,1.2,2,244,13
Spectre,5,Guard,AoE Guard,E11,1538,407,215,0,21,1.2,2,339,16
Spectre,5,Guard,AoE Guard,E21,1972,551,291,0,23,1.2,3,459,20
Spectre,5,Guard,AoE Guard,E230,2214,615,314,0,23,1.2,3,513,22
Spectre,5,Guard,AoE Guard,E1M,1270,355,240,0,11,1.05,2,338,31
Swire,5,Guard,Buff Guard,E01,703,261,193,0,14,1.05,2,249,18
Swire,5,Guard,Buff Guard,E11,964,373,273,0,16,1.05,2,355,22
Swire,5,Guard,Buff Guard,E21,1252,498,346,0,16,1.05,2,474,30
Swire,5,Guard,Buff Guard,E230,1431,533,371,0,16,1.05,2,508,32
Swire,5,Guard,Buff Guard,E2M,1845,640,382,0,20,1.2,2,533,27
Beehunter,4,Guard,Speed Guard,E01,1010,201,131,0,7,0.78,1,258,37
Beehunter,4,Guard,Speed Guard,E11,1365,296,191,0,9,0.78,1,379,42
Beehunter,4,Guard,Speed Guard,E21,1750,395,262,0,9,0.78,1,506,56
Beehunter,4,Guard,Speed Guard,E230,1912,434,283,0,9,0.78,1,556,62
Beehunter,4,Guard,Speed Guard,E2M,1450,1085,131,0,21,2.7,1,402,19
Doberman,4,Guard,Buff Guard,E01,743,239,178,0,13,1.05,2,228,18
Doberman,4,Guard,Buff Guard,E11,1019,342,252,0,15,1.05,2,326,22
Doberman,4,Guard,Buff Guard,E21,1324,457,320,0,15,1.05,2,435,29
Doberman,4,Guard,Buff Guard,E230,1541,494,346,0,15,1.05,2,470,31
Doberman,4,Guard,Buff Guard,E2M,3715,849,195,0,20,1.5,1,566,28
Estelle,4,Guard,AoE Guard,E01,1140,278,133,0,18,1.2,2,232,13
Estelle,4,Guard,AoE Guard,E11,1462,387,190,0,20,1.2,2,323,16
Estelle,4,Guard,AoE Guard,E21,1875,524,258,0,22,1.2,3,437,20
Estelle,4,Guard,AoE Guard,E230,2138,594,282,0,22,1.2,3,495,23
Estelle,4,Guard,AoE Guard,E2M,3620,860,235,0,18,1.5,1,573,32
Frostleaf,4,Guard,Ranged Guard,E01,949,272,154,5,16,1.3,2,209,13
Frostleaf,4,Guard,Ranged Guard,E11,1356,400,211,10,18,1.3,2,308,17
Frostleaf,4,Guard,Ranged Guard,E21,1785,534,268,10,18,1.3,2,411,23
Frostleaf,4,Guard,Ranged Guard,E230,1985,587,291,10,18,1.3,2,452,25
Frostleaf,4,Guard,Ranged Guard,E2M,2260,660,323,10,18,1.3,2,508,28
Matoimaru,4,Guard,Duelist Guard,E01,1443,370,70,0,15,1.5,1,247,16
Matoimaru,4,Guard,Duelist Guard,E11,1925,553,100,0,17,1.5,1,369,22
Matoimaru,4,Guard,Duelist Guard,E21,2567,709,131,0,17,1.5,1,473,28
Matoimaru,4,Guard,Duelist Guard,E230,2947,770,142,0,17,1.5,1,513,30
Matoimaru,4,Guard,Duelist Guard,E2M,1580,450,152,0,18,2.85,1,158,9
Mousse,4,Guard,Magic Guard,E01,1069,273,158,10,18,1.25,1,218,12
Mousse,4,Guard,Magic Guard,E11,1407,396,230,10,20,1.25,1,317,16
Mousse,4,Guard,Magic Guard,E21,1782,515,296,15,20,1.25,1,412,21
Mousse,4,Guard,Magic Guard,E230,2019,569,322,15,20,1.25,1,455,23
Mousse,4,Guard,Magic Guard,E2M,1520,654,118,20,32,2.9,1,226,7
Utage,4,Guard,Drain Guard,E01,1413,309,150,0,20,1.2,1,258,13
Utage,4,Guard,Drain Guard,E11,1963,442,206,0,22,1.2,1,368,17
Utage,4,Guard,Drain Guard,E21,2583,575,265,0,24,1.2,1,479,20
Utage,4,Guard,Drain Guard,E230,2945,625,285,0,24,1.2,1,521,22
Utage,4,Guard,Drain Guard,E2M,1267,505,100,20,15,1.9,1,266,18
Melantha,3,Guard,Duelist Guard,E01,1332,361,83,0,13,1.5,1,241,19
Melantha,3,Guard,Duelist Guard,E11,1903,531,119,0,15,1.5,1,354,24
Utage,4,Guard,Drain Guard,E2M,2235,552,367,0,14,1,1,552,39
Midnight,3,Guard,Ranged Guard,E01,879,252,162,5,14,1.3,2,194,14
Midnight,3,Guard,Ranged Guard,E11,1256,372,222,10,16,1.3,2,286,18
Melantha,3,Guard,Duelist Guard,E2M,1420,452,335,0,8,0.93,1,486,61
Popukar,3,Guard,AoE Guard,E01,1130,263,126,0,17,1.2,2,219,13
Popukar,3,Guard,AoE Guard,E11,1449,366,181,0,19,1.2,2,305,16
Midnight,3,Guard,Ranged Guard,E2M,1493,513,152,0,13,1,1,513,39
Castle-3,3,Guard,Duelist Guard,E01,862,221,63,0,3,1.5,1,147,49
Castle-3,3,Guard,Duelist Guard,E0M,1106,316,90,0,3,1.5,1,211,70
Nightingale,6,Medic,AoE Healer,E01,796,132,80,5,16,2.85,1,46,3
Nightingale,6,Medic,AoE Healer,E11,1076,210,107,5,18,2.85,1,74,4
Nightingale,6,Medic,AoE Healer,E21,1346,280,140,5,18,2.85,1,98,5
Nightingale,6,Medic,AoE Healer,E230,1463,303,149,5,18,2.85,1,106,6
Nightingale,6,Medic,AoE Healer,E2M,1455,645,130,20,32,2.9,1,222,7
Shining,6,Medic,ST Healer,E01,854,180,60,0,18,2.85,1,63,4
Shining,6,Medic,ST Healer,E11,1204,296,88,0,20,2.85,1,104,5
Shining,6,Medic,ST Healer,E21,1451,424,110,0,20,2.85,1,149,7
Shining,6,Medic,ST Healer,E230,1504,459,119,0,20,2.85,1,161,8
Shining,6,Medic,ST Healer,E2M,2550,435,562,10,20,1.2,3,363,18
Breeze,5,Medic,AoE Healer,E01,745,125,72,0,15,2.85,1,44,3
Breeze,5,Medic,AoE Healer,E11,1008,202,97,0,17,2.85,1,71,4
Breeze,5,Medic,AoE Healer,E21,1260,274,126,0,17,2.85,1,96,6
Breeze,5,Medic,AoE Healer,E230,1383,299,136,0,17,2.85,1,105,6
Breeze,5,Medic,AoE Healer,E2M,1420,583,110,20,19,1.6,1,364,19
Ceylon,5,Medic,Far Healer,E01,798,154,55,5,20,2.85,1,54,3
Ceylon,5,Medic,Far Healer,E11,1050,254,80,5,22,2.85,1,89,4
Ceylon,5,Medic,Far Healer,E21,1251,353,100,5,22,2.85,1,124,6
Ceylon,5,Medic,Far Healer,E230,1326,386,110,5,22,2.85,1,135,6
Ceylon,5,Medic,Far Healer,E2M,3825,762,334,0,26,1.2,1,635,24
Ptilopsis,5,Medic,AoE Healer,E01,751,122,71,0,15,2.85,1,43,3
Ptilopsis,5,Medic,AoE Healer,E11,1016,198,95,0,17,2.85,1,69,4
Ptilopsis,5,Medic,AoE Healer,E21,1271,268,124,0,17,2.85,1,94,6
Ptilopsis,5,Medic,AoE Healer,E230,1395,293,134,0,17,2.85,1,103,6
Ptilopsis,5,Medic,ST Healer,E1M,1220,345,110,0,17,2.85,1,121,7
Silence,5,Medic,ST Healer,E01,845,166,62,0,17,2.85,1,58,3
Silence,5,Medic,ST Healer,E11,1191,273,90,0,19,2.85,1,96,5
Silence,5,Medic,ST Healer,E21,1435,385,113,0,19,2.85,1,135,7
Silence,5,Medic,ST Healer,E230,1494,421,124,0,19,2.85,1,148,8
Silence,5,Medic,ST Healer,E2M,3850,430,723,0,23,1.2,3,358,16
Warfarin,5,Medic,ST Healer,E01,805,172,55,0,17,2.85,1,60,4
Warfarin,5,Medic,ST Healer,E11,1135,282,80,0,19,2.85,1,99,5
Warfarin,5,Medic,ST Healer,E21,1368,404,100,0,19,2.85,1,142,7
Warfarin,5,Medic,ST Healer,E230,1424,441,109,0,19,2.85,1,155,8
Warfarin,5,Medic,ST Healer,E2M,2823,442,585,10,21,1.2,3,368,18
Gavial,4,Medic,ST Healer,E01,851,159,66,0,16,2.85,1,56,4
Gavial,4,Medic,ST Healer,E11,1167,262,96,0,18,2.85,1,92,5
Gavial,4,Medic,ST Healer,E21,1374,364,121,0,18,2.85,1,128,7
Gavial,4,Medic,ST Healer,E230,1461,400,134,0,18,2.85,1,140,8
Gavial,4,Medic,ST Healer,E2M,1680,870,130,20,34,2.9,1,300,9
Myrhh,4,Medic,ST Healer,E01,752,161,57,0,16,2.85,1,56,4
Myrhh,4,Medic,ST Healer,E11,1060,264,83,0,18,2.85,1,93,5
Myrhh,4,Medic,ST Healer,E21,1278,372,104,0,18,2.85,1,131,7
Myrhh,4,Medic,ST Healer,E230,1338,411,115,0,18,2.85,1,144,8
Myrhh,4,Medic,ST Healer,E2M,2265,500,350,0,10,0.78,1,641,64
Perfumer,4,Medic,AoE Healer,E01,710,117,69,0,14,2.85,1,41,3
Perfumer,4,Medic,AoE Healer,E11,960,189,92,0,16,2.85,1,66,4
Perfumer,4,Medic,AoE Healer,E21,1232,256,120,0,16,2.85,1,90,6
Perfumer,4,Medic,AoE Healer,E230,1370,283,131,0,16,2.85,1,99,6
Perfumer,4,Medic,AoE Healer,E2M,1280,518,104,20,15,1.9,1,273,18
Purestream,4,Medic,Far Healer,E01,748,150,51,5,17,2.85,1,53,3
Purestream,4,Medic,Far Healer,E11,985,247,75,5,19,2.85,1,87,5
Purestream,4,Medic,Far Healer,E21,1173,344,94,5,19,2.85,1,121,6
Purestream,4,Medic,Far Healer,E230,1254,380,104,5,19,2.85,1,133,7
Purestream,4,Medic,Far Healer,E2M,1320,475,154,0,12,1,1,475,40
Sussurro,4,Medic,ST Healer,E01,725,173,53,0,16,2.85,1,61,4
Sussurro,4,Medic,ST Healer,E11,994,284,77,0,18,2.85,1,100,6
Sussurro,4,Medic,ST Healer,E21,1170,395,97,0,18,2.85,1,139,8
Sussurro,4,Medic,ST Healer,E230,1244,434,108,0,18,2.85,1,152,8
Sussurro,4,Medic,ST Healer,E1M,1060,375,126,0,11,1,1,375,34
Ansel,3,Medic,ST Healer,E01,634,156,60,0,15,2.85,1,55,4
Ansel,3,Medic,ST Healer,E11,907,257,81,0,17,2.85,1,90,5
Sussurro,4,Medic,ST Healer,E2M,2350,685,365,15,19,1.3,2,527,28
Hibiscus,3,Medic,ST Healer,E01,682,153,61,0,15,2.85,1,54,4
Hibiscus,3,Medic,ST Healer,E11,975,248,82,0,17,2.85,1,87,5
Hibiscus,3,Medic,ST Healer,E1M,1070,535,95,15,30,2.9,1,184,6
Lancet-2,3,Medic,ST Healer,E01,261,42,16,0,3,2.85,1,15,5
Lancet-2,3,Medic,ST Healer,E0M,435,70,27,0,3,2.85,1,25,8
Exusiai,6,Sniper,Anti-Air Sniper,E01,711,183,57,0,12,1,1,183,15
Exusiai,6,Sniper,Anti-Air Sniper,E11,1016,305,95,0,14,1,1,305,22
Exusiai,6,Sniper,Anti-Air Sniper,E21,1338,437,136,0,14,1,1,437,31
Exusiai,6,Sniper,Anti-Air Sniper,E230,1447,471,144,0,14,1,1,471,34
Exusiai,6,Sniper,Anti-Air Sniper,E2M,1443,573,119,20,32,2.3,1,249,8
Schwarz,6,Sniper,Close Sniper,E01,781,357,86,0,16,1.6,1,223,14
Schwarz,6,Sniper,Close Sniper,E11,1086,490,123,0,18,1.6,1,306,17
Schwarz,6,Sniper,Close Sniper,E21,1393,646,164,0,20,1.6,1,404,20
Schwarz,6,Sniper,Close Sniper,E230,1536,709,184,0,20,1.6,1,443,22
Schwarz,6,Sniper,Close Sniper,E2M,3240,425,710,0,22,1.2,3,354,16
Blue Poison,5,Sniper,Anti-Air Sniper,E01,536,178,45,5,11,1,1,178,16
Blue Poison,5,Sniper,Anti-Air Sniper,E11,767,297,76,5,13,1,1,297,23
Blue Poison,5,Sniper,Anti-Air Sniper,E21,984,438,109,5,13,1,1,438,34
Blue Poison,5,Sniper,Anti-Air Sniper,E230,1074,474,117,5,13,1,1,474,36
Blue Poison,5,Sniper,Anti-Air Sniper,E2M,1103,469,140,20,12,1.6,1,293,24
Executor,5,Sniper,All-In-Range Sniper,E01,1035,327,100,0,28,2.3,1,142,5
Executor,5,Sniper,All-In-Range Sniper,E11,1380,468,131,0,31,2.3,1,203,7
Executor,5,Sniper,All-In-Range Sniper,E21,1747,604,166,0,31,2.3,1,263,8
Executor,5,Sniper,All-In-Range Sniper,E230,1961,647,173,0,31,2.3,1,281,9
Executor,5,Sniper,All-In-Range Sniper,E2M,1630,811,343,30,20,3.5,0,232,12
Firewatch,5,Sniper,Low Defense Sniper,E01,714,486,63,0,19,2.7,1,180,9
Firewatch,5,Sniper,Low Defense Sniper,E11,928,675,85,0,21,2.7,1,250,12
Firewatch,5,Sniper,Low Defense Sniper,E21,1160,889,107,0,21,2.7,1,329,16
Firewatch,5,Sniper,Low Defense Sniper,E230,1266,961,116,0,21,2.7,1,356,17
Firewatch,5,Sniper,Low Defense Sniper,E2M,3470,855,156,0,17,1.5,1,570,34
GreyThroat,5,Sniper,Anti-Air Sniper,E01,667,173,53,0,11,1,1,173,16
GreyThroat,5,Sniper,Anti-Air Sniper,E11,954,289,89,0,13,1,1,289,22
